id,type,text1,text2,text3,notes
aBadIdea3_paragon,SHIP,"The pinnacle of the Domain's battleship designs, though perhaps less the result of military necessity and more of the ambitions of certain senior strategic staff of the Domain Navy - with considerable backing from the Tri-Tachyon corporation, among other major contractors.

No ship can outlast or outgun the Paragon-class, a true Leviathan of a bygone epoch.",,,
aBadIdea3_lobstership,SHIP,"It was said that the highest ranking official, the Lion of Sindarian, who loved his pet Blobby the Blue Lobster, who was know throughout the farthest sector, to be one of the biggest Blue Lobsters that their eggs have ever produced, his majesty took it upon himself to honor this amphibious legend, and make a ship out of it.

Cycles of failed prototypes later, There was one, who graciously captured, the stunning perfection, of Blobby the Blue Lobster, as its first display to the Lion was met up in cheer, women wept, men howled to its name, and the Lion was happy, as it was majestical in each curve and plate, the artist behind it, some scrub in the backwaters of Sindaria, came up with this desgin, and took 5 cycles to come to its current state, utilizing rubber bands as hydralics and a over cooker for an engine, the beast of Blobby lived on witihin this ship. ",,,
aBadIdea3_ANVIL,SHIP,"The Blacksmith-class battleship was once an ore-rich asteroid, reforged into a symbol of times past.",,,
aBadIdea3_BREADNOUGHT,SHIP,"A ship constructed entirely out of stale bread

The designers of this doughy abomination have hollowed it out as much as possible to fit in the ship systems, compromising the already flimsy structure further. Why anyone would willingly fly this ship is a mystery.",,,
aBadIdea3_meowquest,SHIP,"The Meowquest-cwass battwecwuisew is the embodiment of concentwated fiwepowew. Devewoped in the pewiod just pweceding the popuwawization of fightew cwaft, the cwass emphasizes fiwepowew and speed uvw awmow pwotection.

Space Nyavaw tacticians of the day wewe confident dat nyew weapons systems wouwd awways outpewfowm awmow and shiewds and thus wewe the key to winnying an engagement. So why nyot buiwd a ship fow speed and powew?? give it the awmow pwotection of a cwuisew, but awm it with the best weapons avaiwabwe to any ship, and have it wemain fastew than any of those wumbewing behemoths of the winye. The Meowquest is a good exampwe of these concepts put into a huww. Mwany othew advanced technyowogies wewe incowpowated into the design, incwuding weapon mwounts designyed fow a ciwcwing engagement. Dis mwanyeuvew wequiwes gweatew nyavigationyaw skiww whiwe sewving to pwovide mwowe tacticaw options to the commanding officews. 

Fowtunye favows the bowd, the ancients said. Dis cwass of ships does indeed favow the bowd captain, wiwwing to wisk evewything fow the thwiww of victowy.",,,
aBadIdea3_brickcruiser,SHIP,"It's a brick, captain. Maybe you should throw it at someone.",,,
aBadIdea3_threadnought,SHIP,This strange ship shouldn't even be capable of space combat.,,,
aBadIdea3_exp_cookie,SHIP,It's a delicious cookie come to destroy your colony.,,,
aBadIdea3_Hounslaught,SHIP,"A venerable design, the Onslaught-class battleships were first created to serve the Domain Armada long ago, before the development of advanced strike weapons, modern energy weapons, and shield systems. 

When first launched from orbital dock, they must have surely dwarfed any other ship in existence and intimidated entire systems. Some even say that they were built to combat non-humans in a long forgotten war. Much later, Domain engineers made modifications to the blueprints to include a shield system, upgraded the FTL drives, and reduced the necessary crew complement through automation and iterative engineering. Even though more advanced blueprints are available, the Onslaught remains the easiest to manufacture due to the brutal simplicity of its systems. 

A ship designed without shields in mind, built to be able to withstand a heavy barrage of enemy fire and strike back while protecting its crew is much loved by its officers and crew. And strike back it can; the Onslaught's unmatched ballistic potential can devastate entire fleets in minutes, its only drawback a logistical dependency on ammunition. 

The Onslaught-class proudly serves as the backbone of the Hegemony Navy.",,,
aBadIdea3_icelas,SHIP,"The Atlas-class ships are large space-borne cargo platforms with an FTL drive and a few defensive systems. Hundreds of containers can be latched on to the hull and carried with ease by this behemoth. 

Typically used to efficiently resupply entire outposts, the Atlas is ill suited to the small and fast trade runs that are the mainstay of commerce in the sector. Their slow speed and large size always tempt uninvited guests, ranging from curious gawkers come to see the hulking colossus, to scavenging pirates aiming to disable a container's magneto-gravitic fastener, to Pather fanatics bent on destroying it all. Nonetheless, the Hegemony makes wide use of them, especially to offload biomass from farming worlds on a seasonal basis. For this purpose, the Hegemony assembles large Atlas convoys; these are protected by military cruisers that ensure that the lifeline of Hegemony citizens is kept safe.

The captaincy of an Atlas is a rare punishment for the able, an uneven mixture of soul-numbing boredom and abject terror, being the results of normal trade runs and pirate attacks, respectively.",,,
aBadIdea3_onslobster,SHIP,"A venerable design, the Onslaught-class battleships were first created to serve the Domain Armada long ago, before the development of advanced strike weapons, modern energy weapons, and shield systems. 

When first launched from orbital dock, they must have surely dwarfed any other ship in existence and intimidated entire systems. Some even say that they were built to combat non-humans in a long forgotten war. Much later, Domain engineers made modifications to the blueprints to include a shield system, upgraded the FTL drives, and reduced the necessary crew complement through automation and iterative engineering. Even though more advanced blueprints are available, the Onslaught remains the easiest to manufacture due to the brutal simplicity of its systems. 

A ship designed without shields in mind, built to be able to withstand a heavy barrage of enemy fire and strike back while protecting its crew is much loved by its officers and crew. And strike back it can; the Onslaught's unmatched ballistic potential can devastate entire fleets in minutes, its only drawback a logistical dependency on ammunition. 

The Onslaught-class proudly serves as the backbone of the Hegemony Navy.",,,
aBadIdea3_shrike,SHIP,"An advanced fast-attack light destroyer from the same design team as the near-ubiquitous Wolf, the Shrike's advanced propulsion system is designed to selectively vent plasma in a 'microburn' maneuver. This allows the Shrike to dart into tactical opportunities as they arise, strike, and escape before a proper counter-attack is mounted. Shields, armour, and sustained flux capacity are somewhat underwhelming due to the need to build a light yet economical hull which prioritizes attack speed, leading to the Shrike gaining the reputation as a glass cannon best entrusted to skilled captains.

Certain unique structural elements in the plasma venting system are known to, with wear, corrode in oxygen-rich atmospheres, so care must be taken to re-apply ceramopolymer coating at each hull servicing.",,,
